company_code,name,business_description,listing_status,duns_company_code,primary_industry_code,primary_industry_scheme,primary_industry_description,city,state,zipcode
LLGION,Allegion Plc,"Allegion Plc engages in the provision of security products and solutions that keep people safe, secure, and productive. It operates through the Allegion Americas and Allegion International segments. The Allegion Americas segment offers security products, services, and solutions throughout North America. The Allegion International segment refers to security products, services, and solutions primarily throughout Europe, Asia and Oceania. The company was founded on May 9, 2013 and is headquartered in Dublin, Ireland.",listed,985572281,3442,SIC,"Metal Doors, Sash, Frames, Molding, and Trim Manufacturing",Dublin,Dublin,2
DEXCOI,"DexCom, Inc.","DexCom, Inc. is a medical device company, which engages in the design, development, and commercialization of glucose monitoring systems for ambulatory use by people with diabetes. Its products include Dexcom G6, Dexcom G7, Dexcom Stelo, Dexcom Share, Dexcom Real-Time API, and Dexcom ONE. The company was founded by John F. Burd on May 13, 1999 and is headquartered in San Diego, CA.",listed,123160736,3841,SIC,Surgical and Medical Instruments and Apparatus,San Diego,California,92121
UBRTI,"Uber Technologies, Inc.","Uber Technologies, Inc. is a technology platform, which engages in the development and operation of technology applications, network, and product to power movement from point A to point B. The firm offers ride services and merchants delivery service providers for meal preparation, grocery and other delivery services. It operates through the following segments: Mobility, Delivery, and Freight. The Mobility segment refers to products that connect consumers with Mobility Drivers who provide rides in a variety of vehicles, such as cars, auto rickshaws, motorbikes, minibuses, or taxis. The Delivery segment offers consumers to search for and discover local restaurants, order a meal, and either pick-up at the restaurant or have the meal delivered and, in certain markets, Delivery also includes offerings for grocery, alcohol and convenience store delivery and other goods. The Freight segment leverages proprietary technology, brand awareness, and experience revolutionizing industries to connect carriers with shippers on Uber’s platform, and gives carriers upfront, transparent pricing and the ability to book a shipment. The company was founded by Oscar Salazar Gaitan, Travis Kalanick and Garrett Camp in 2009 and is headquartered in San Francisco, CA.",listed,013895459,4119,SIC,"Local Passenger Transportation, NEC",San Francisco,California,94158
PHISEM,NXP Semiconductors NV,"NXP Semiconductors NV is a holding company which engages in the provision of semiconductor solutions. It operates through the following geographical segments: China, Netherlands, United States, Singapore, Germany, Japan, South Korea, Malaysia, and Other Countries. The company was founded on August 2, 2006, and is headquartered in Eindhoven, the Netherlands.",listed,414955513,3674,SIC,Semiconductors and Related Devices,Eindhoven,Noord-Brabant,5656 AG
RALURN,Ralph Lauren Corp.,"Ralph Lauren Corp. engages in the design, marketing, and distribution of luxury lifestyle products, including apparel, footwear and accessories, home, fragrances, and hospitality categories. The firm offers products under the brands of Ralph Lauren, Ralph Lauren Collection, Ralph Lauren Purple Label, Polo Ralph Lauren, Double RL, Lauren Ralph Lauren, Polo Ralph Lauren Children, and Chaps. It operates through the following segments: North America, Europe, and Asia. The North America segment offers Ralph Lauren branded apparel, accessories, home furnishings, and related products made through the retail and wholesale businesses in the U.S. and Canada. The Europe segment includes Ralph Lauren branded products made through the retail and wholesale businesses in Europe and emerging markets. The Asia segment consists of Ralph Lauren branded products made through the retail and wholesale businesses in Asia, Australia, and New Zealand. The company was founded by Ralph Lauren in 1967 and is headquartered in New York, NY.",listed,046169595,2321,SIC,"Men's and Boys' Shirts, Except Work Shirts",New York,New York,10022
DOLR,Dollar General Corp.,"Dollar General Corp. engages in the operation of merchandise stores. Its offerings include food, snacks, health and beauty aids, cleaning supplies, basic apparel, housewares, and seasonal items. It sells brands including Clorox, Energizer, Procter & Gamble, Hanes, Coca-Cola, Mars, Unilever, Nestle, Kimberly-Clark, Kellogg's, General Mills, and PepsiCo. The company was founded by J. L. Turner and Hurley Calister Turner Sr. in 1939 and is headquartered in Goodlettsville, TN.",listed,006946172,5331,SIC,Variety Stores,Goodlettsville,Tennessee,37072
DGRLTR,"Digital Realty Trust, Inc.","Digital Realty Trust, Inc. operates as a real estate investment trust, which engages in the provision of data center, colocation and interconnection solutions. It serves the following industries: artificial intelligence (AI), networks, cloud, digital media, mobile, financial services, healthcare, and gaming. The company was founded on March 9, 2004, and is headquartered in Austin, TX.",listed,170781038,6798,SIC,Real Estate Investment Trusts,Austin,Texas,78735
HEWLP,"HP, Inc.","HP, Inc. engages in the provision of personal computing and other access devices, imaging and printing products, and related technologies, solutions, and services. It operates through the following business segments: Personal Systems, Printing, and Corporate Investments. The Personal Systems segment offers commercial and consumer desktop and notebook personal computers, workstations, thin clients, commercial tablets and mobility devices, retail point-of-sale systems, displays and other related accessories, software, support, and services for the commercial and consumer markets. The Printing segment provides consumer and commercial printer hardware, supplies, solutions and services, and scanning devices. The Corporate Investments segment includes HP Labs and certain business incubation projects. The company was founded by William R. Hewlett and David Packard in 1939 and is headquartered in Palo Alto, CA.",listed,009122532,3571,SIC,Electronic Computers,Palo Alto,California,94304
ROLINC,"Rollins, Inc.","Rollins, Inc. engages in the provision of pest and termite control services through its wholly-owned subsidiaries to both residential and commercial customers in the United States, Canada, Central America, South America, the Caribbean, the Middle East, Asia, the Mediterranean, Europe, Africa, Mexico, and Australia. The company was founded by John W. Rollins Jr. and O. Wayne Rollins Sr. in 1948 and is headquartered in Atlanta, GA.",listed,006919088,7342,SIC,Disinfecting and Pest Control Services,Atlanta,Georgia,30324
SCHPLO,"Merck & Co., Inc.","Merck & Co., Inc. is a health care company, which engages in the provision of health solutions through its prescription medicines, vaccines, biologic therapies, animal health, and consumer care products. It operates through the following segments: Pharmaceutical, Animal Health, and Other. The Pharmaceutical segment includes human health pharmaceutical and vaccine products. The Animal Health segment discovers, develops, manufactures, and markets animal health products, such as pharmaceutical and vaccine products, for the prevention, treatment and control of disease in livestock, and companion animal species. The Other segment consists of sales for the non-reportable segments of healthcare services. The company was founded in 1891 and is headquartered in Rahway, NJ.",listed,054554290,2834,SIC,Pharmaceutical Preparations,Rahway,New Jersey,07065
GARDNN,"Ingersoll Rand, Inc.","Ingersoll Rand Inc. provides technology-driven flow creation and industrial solutions across 40+ respected brands. It operates through two segments: Industrial Technologies and Services & Precision and Science Technologies. The Industrial Technologies and Services segment has a broad Range of Compressor, Vacuum and Blower Solutions as well as Industrial Technologies Including Power Tools and Lifting Equipment. The Precision and Science Technologies segment is Highly Specialized Fluid Management Solutions Including Precision Liquid and Gas Pumps and Niche Compression Technologies. The company was founded in 1872 and is headquartered in Davidson, NC.",listed,001368026,3563,SIC,Air and Gas Compressors,Davidson,North Carolina,28036
ABOTLB,Abbott Laboratories,"Abbott Laboratories engages in the discovery, development, manufacture, and sale of health care products. It operates through the following business segments: Established Pharmaceutical Products, Diagnostic Products, Nutritional Products, and Medical Devices. The Established Pharmaceutical Products segment refers to the international sales of a line of branded generic pharmaceutical products. The Diagnostic Products segment markets diagnostic systems and tests for blood banks, hospitals, commercial laboratories, and alternate-care testing sites. The Nutritional Products segment caters to the worldwide sales of adult and pediatric nutritional products. The Medical Devices segment includes electrophysiology, heart failure, vascular and structural heart devices for the treatment of cardiovascular diseases, and diabetes care products for people with diabetes, as well as neuromodulation devices for the management of chronic pain and movement disorders. The company was founded by Wallace Calvin Abbott in 1888 and is headquartered in Abbott Park, IL.",listed,001307602,3841,SIC,Surgical and Medical Instruments and Apparatus,Abbott Park,Illinois,60064
BOPRO,"Boston Properties, Inc.","Boston Properties, Inc. operates as a real estate investment trust. It develops, acquires, manages and owns a portfolio of Class A properties. The firm operates through the following geographical locations: Boston, New York, San Francisco and Washington. The company was founded by Mortimer Benjamin Zuckerman and Edward H. Linde in 1970 and is headquartered in Boston, MA.",listed,073815011,6798,SIC,Real Estate Investment Trusts,Boston,Massachusetts,02199
CCRED,"Citigroup, Inc.","Citigroup, Inc. is a holding company, which engages in the provision of financial products and services. It operates through the following segments: Global Consumer Banking, Institutional Clients Group, and Corporate and Other. The Global Consumer Banking segment provides traditional banking services to retail customers through retail banking, including commercial banking, and Citi-branded cards and Citi retail services. The Institutional Clients Group segment provides corporate, institutional, public sector and high-net-worth clients around the world with a full range of wholesale banking products and services. This segment includes fixed income and equity sales and trading, foreign exchange, prime brokerage, derivative services, equity and fixed income research, corporate lending, investment banking and advisory services, private banking, cash management, trade finance and securities services. The Corporate and Other segment includes certain unallocated costs of global staff functions, other corporate expenses and unallocated global operations and technology expenses, Corporate Treasury, certain North America and international legacy consumer loan portfolios, other legacy assets, and discontinued operations. The company was founded in 1812 and is headquartered in New York, NY.",listed,197329691,6021,SIC,National Commercial Banks,New York,New York,10013
AMEXPR,American Express Co.,"American Express Co. is an integrated payments company, which engages in the provision of credit and charge cards to consumers, small businesses, mid-sized companies, and large corporations. It operates through the following segments: the United States Consumer Services (USCS), Commercial Services (CS), International Card Services (ICS), Global Merchant and Network Services (GMNS), and Corporate and Other. The USCS segment includes proprietary consumer cards and provides services to consumers including travel and lifestyle services as well as banking and non-card financing products. The CS segment offers proprietary corporate and small business cards and provides services to businesses including payment and expense management, banking, and non-card financing products. The ICS segment focuses on providing services to international customers including travel and lifestyle services and managing certain international joint ventures and loyalty coalition businesses. The GMNS segment is involved in operating a global payments network that processes and settles card transactions, acquires merchants, and provides multi-channel marketing programs and capabilities, services and data analytics. The Corporate and Other segment covers corporate functions and certain other businesses and operations. The company was founded by Henry Wells, William G. Fargo, and John Warren Butterfield on March 28, 1850 and is headquartered in New York, NY.",listed,006979900,6141,SIC,Personal Credit Institutions,New York,New York,10285
ALCHS,"Cencora, Inc.","AmerisourceBergen Corp. engages in the provision of pharmaceutical products and business solutions that improve access to care. It operates through the Pharmaceutical Distribution Services and Other segments. The Pharmaceutical Distribution Services segment distributes an offering of brand-name, specialty brand-name and generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies and equipment, and related services to healthcare providers, including acute care hospitals and health systems, independent and chain retail pharmacies, mail order pharmacies, medical clinics, and long-term care and alternate site pharmacies. The Other segment focuses on global commercialization services and animal health, and includes AmerisourceBergen Consulting Services ABCS, World Courier, and MWI. The company was founded by in Emil P. Martini in 1947 and is headquartered in Conshohocken, PA.",listed,039277590,5122,SIC,"Drugs, Drug Proprietaries, and Druggists' Sundries",Conshohocken,Pennsylvania,19428
QUINTL,"IQVIA Holdings, Inc.","IQVIA Holdings, Inc. engages in the provision of analytics, technology solutions, and clinical research services to the life sciences industry. It operates through the following segments: Technology and Analytics Solutions, Research and Development Solutions, and Contract Sales and Medical Solutions. The Technology and Analytics Solutions segment supplies mission critical information, technology solutions, and real-world solutions and services to the firm's life science clients. The Research and Development Solutions segment provides outsourced clinical research and clinical trial related services. The Contract Sales and Medical Solutions segment offers health care provider and patient engagement services to both biopharmaceutical customers and the broader healthcare market. The company was founded by Dennis B. Gillings and Gary Koch in 1982 and is headquartered in Durham, NC.",listed,832831783,8731,SIC,Commercial Physical and Biological Research,Durham,North Carolina,27703
